cap.shape cap.surface cap.color bruises odor gill.attachment gill.spacing gill.size gill.color stalk.shape stalk.root stalk.surface.above.ring stalk.surface.below.ring stalk.color.above.ring stalk.color.below.ring veil.color ring.number ring.type spore.print.color population habitat.
CONVEX SCALY YELLOW BRUISES ANISE FREE CLOSE BROAD GRAY ENLARGING CLUB SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT BROWN SCATTERED MEADOWS
CONVEX SCALY CINNAMON BRUISES NONE FREE CLOSE BROAD WHITE ENLARGING BULBOUS SMOOTH SMOOTH WHITE WHITE WHITE TWO PENDANT WHITE SEVERAL PATHS
FLAT SMOOTH WHITE BRUISES PUNGENT FREE CLOSE NARROW PINK ENLARGING EQUAL SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT BROWN SCATTERED GRASSES
FLAT SCALY BROWN BRUISES NONE FREE CLOSE BROAD PINK TAPERING BULBOUS SMOOTH SMOOTH GRAY WHITE WHITE ONE PENDANT BROWN SEVERAL WOODS
CONVEX FIBROUS BROWN BRUISES NONE FREE CLOSE BROAD PINK TAPERING BULBOUS SMOOTH SMOOTH WHITE GRAY WHITE ONE PENDANT BLACK SOLITARY WOODS
CONVEX SMOOTH WHITE BRUISES ALMOND FREE CLOSE BROAD BLACK ENLARGING CLUB SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT BROWN SCATTERED GRASSES
FLAT FIBROUS YELLOW NO FOUL FREE CLOSE BROAD PINK ENLARGING BULBOUS SILKY SILKY BUFF BUFF WHITE ONE LARGE CHOCOLATE SEVERAL WOODS
SUNKEN FIBROUS GRAY NO NONE FREE CLOSE NARROW BROWN ENLARGING EQUAL SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT BROWN SOLITARY URBAN
FLAT FIBROUS GRAY BRUISES NONE FREE CLOSE BROAD PINK TAPERING BULBOUS SMOOTH SMOOTH PINK WHITE WHITE ONE PENDANT BROWN SEVERAL WOODS
CONVEX FIBROUS WHITE NO NONE FREE CROWDED BROAD CHOCOLATE TAPERING EQUAL FIBROUS FIBROUS WHITE WHITE WHITE ONE EVANESCENT BLACK SCATTERED GRASSES
CONVEX SMOOTH GRAY NO NONE FREE CROWDED BROAD PINK TAPERING EQUAL FIBROUS FIBROUS WHITE WHITE WHITE ONE EVANESCENT BROWN SCATTERED GRASSES
FLAT SCALY RED BRUISES NONE FREE CLOSE BROAD BROWN TAPERING BULBOUS SMOOTH SMOOTH GRAY WHITE WHITE ONE PENDANT BLACK SEVERAL WOODS
FLAT SMOOTH WHITE BRUISES ANISE FREE CROWDED NARROW PINK TAPERING BULBOUS SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT PURPLE SEVERAL WOODS
CONVEX SCALY GRAY BRUISES NONE FREE CLOSE BROAD WHITE TAPERING BULBOUS SMOOTH SMOOTH GRAY GRAY WHITE ONE PENDANT BROWN SOLITARY WOODS
FLAT SCALY WHITE BRUISES PUNGENT FREE CLOSE NARROW BROWN ENLARGING EQUAL SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT BROWN SEVERAL URBAN
FLAT FIBROUS GRAY BRUISES NONE FREE CLOSE BROAD PINK TAPERING BULBOUS SMOOTH SMOOTH GRAY WHITE WHITE ONE PENDANT BROWN SOLITARY WOODS
CONVEX FIBROUS GRAY BRUISES NONE FREE CLOSE BROAD BROWN TAPERING BULBOUS SMOOTH SMOOTH WHITE PINK WHITE ONE PENDANT BROWN SOLITARY WOODS
CONVEX SCALY YELLOW NO FOUL FREE CLOSE BROAD CHOCOLATE ENLARGING BULBOUS SILKY SILKY BROWN BUFF WHITE ONE LARGE CHOCOLATE SOLITARY WOODS
FLAT SCALY RED NO MUSTY ATTACHED CLOSE BROAD WHITE ENLARGING CLUB SILKY SCALY CINNAMON CINNAMON WHITE NONE NONE WHITE CLUSTERED WOODS
CONVEX SCALY YELLOW NO FOUL FREE CLOSE BROAD PINK ENLARGING BULBOUS SILKY SILKY BUFF BROWN WHITE ONE LARGE CHOCOLATE SOLITARY WOODS
FLAT SCALY GRAY BRUISES NONE FREE CLOSE BROAD PURPLE TAPERING BULBOUS SMOOTH SMOOTH GRAY GRAY WHITE ONE PENDANT BLACK SOLITARY WOODS
CONVEX SCALY GRAY BRUISES NONE FREE CLOSE BROAD PINK TAPERING BULBOUS SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT BLACK SEVERAL WOODS
CONVEX FIBROUS YELLOW NO FOUL FREE CLOSE BROAD PINK ENLARGING BULBOUS SILKY SILKY BUFF PINK WHITE ONE LARGE CHOCOLATE SOLITARY PATHS
FLAT FIBROUS GRAY BRUISES NONE FREE CLOSE BROAD BROWN TAPERING BULBOUS SMOOTH SMOOTH WHITE GRAY WHITE ONE PENDANT BLACK SOLITARY WOODS
FLAT FIBROUS RED BRUISES NONE FREE CLOSE BROAD BROWN TAPERING BULBOUS SMOOTH SMOOTH WHITE PINK WHITE ONE PENDANT BLACK SOLITARY WOODS
CONVEX SMOOTH WHITE NO NONE FREE CROWDED BROAD BLACK TAPERING EQUAL SMOOTH SMOOTH WHITE WHITE WHITE ONE EVANESCENT BLACK SCATTERED GRASSES
CONVEX FIBROUS RED BRUISES NONE FREE CLOSE BROAD BROWN TAPERING BULBOUS SMOOTH SMOOTH PINK GRAY WHITE ONE PENDANT BROWN SOLITARY WOODS
BELL SMOOTH WHITE BRUISES ALMOND FREE CLOSE BROAD WHITE ENLARGING CLUB SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT BROWN NUMEROUS MEADOWS
CONVEX SCALY YELLOW NO FOUL FREE CLOSE BROAD PINK ENLARGING BULBOUS SILKY SILKY PINK BROWN WHITE ONE LARGE CHOCOLATE SOLITARY GRASSES
FLAT SCALY GRAY NO FOUL FREE CLOSE BROAD PINK ENLARGING BULBOUS SILKY SILKY PINK PINK WHITE ONE LARGE CHOCOLATE SEVERAL GRASSES
CONVEX SMOOTH PINK NO CREOSOTE FREE CLOSE NARROW PURPLE ENLARGING BULBOUS SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT BLACK SEVERAL WOODS
CONVEX SMOOTH WHITE BRUISES PUNGENT FREE CLOSE NARROW BLACK ENLARGING EQUAL SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT BLACK SEVERAL URBAN
BELL GROOVES WHITE BRUISES NONE FREE CROWDED NARROW WHITE ENLARGING BULBOUS SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT WHITE CLUSTERED LEAVES
CONVEX FIBROUS GRAY NO NONE FREE CLOSE NARROW GRAY ENLARGING EQUAL SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT BROWN SEVERAL URBAN
CONVEX FIBROUS WHITE NO CREOSOTE FREE CROWDED NARROW BROWN ENLARGING BULBOUS SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT BROWN SCATTERED WOODS
CONICAL SCALY YELLOW NO NONE FREE CROWDED NARROW YELLOW ENLARGING CLUB SCALY SCALY YELLOW YELLOW YELLOW ONE EVANESCENT WHITE CLUSTERED LEAVES
FLAT FIBROUS GRAY NO NONE FREE CROWDED BROAD PINK TAPERING EQUAL SMOOTH FIBROUS WHITE WHITE WHITE ONE EVANESCENT BROWN SCATTERED GRASSES
BELL SMOOTH BUFF BRUISES NONE FREE CLOSE BROAD WHITE ENLARGING BULBOUS SMOOTH SMOOTH WHITE WHITE WHITE TWO PENDANT GREEN SEVERAL MEADOWS
FLAT SMOOTH GRAY BRUISES FOUL FREE CLOSE BROAD PINK TAPERING BULBOUS FIBROUS FIBROUS WHITE WHITE WHITE ONE PENDANT CHOCOLATE SCATTERED GRASSES
FLAT FIBROUS GRAY NO NONE FREE CROWDED BROAD CHOCOLATE TAPERING EQUAL FIBROUS SMOOTH WHITE WHITE WHITE ONE EVANESCENT BLACK SCATTERED GRASSES
KNOBBED FIBROUS CINNAMON NO NONE FREE CROWDED NARROW WHITE ENLARGING BULBOUS SMOOTH SMOOTH WHITE BROWN WHITE ONE EVANESCENT WHITE SEVERAL LEAVES
CONVEX SMOOTH BROWN NO NONE FREE CROWDED BROAD PINK TAPERING EQUAL SMOOTH FIBROUS WHITE WHITE WHITE ONE EVANESCENT BLACK ABUNDANT GRASSES
FLAT FIBROUS GRAY NO FOUL FREE CLOSE BROAD GRAY ENLARGING BULBOUS SILKY SILKY PINK BROWN WHITE ONE LARGE CHOCOLATE SOLITARY WOODS
CONVEX SCALY BROWN BRUISES NONE FREE CLOSE BROAD PINK TAPERING BULBOUS SMOOTH SMOOTH PINK PINK WHITE ONE PENDANT BLACK SOLITARY WOODS
FLAT SMOOTH WHITE NO NONE FREE CROWDED BROAD CHOCOLATE TAPERING EQUAL FIBROUS SMOOTH WHITE WHITE WHITE ONE EVANESCENT BLACK ABUNDANT GRASSES
CONVEX FIBROUS GRAY NO NONE FREE CLOSE NARROW BLACK ENLARGING EQUAL SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT BLACK SOLITARY URBAN
FLAT FIBROUS BROWN NO NONE FREE CLOSE NARROW GRAY ENLARGING EQUAL SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT BROWN SOLITARY URBAN
FLAT SCALY GRAY BRUISES NONE FREE CLOSE BROAD PINK TAPERING BULBOUS SMOOTH SMOOTH GRAY GRAY WHITE ONE PENDANT BROWN SEVERAL WOODS
CONVEX SCALY RED BRUISES NONE FREE CLOSE BROAD BROWN TAPERING BULBOUS SMOOTH SMOOTH GRAY GRAY WHITE ONE PENDANT BROWN SOLITARY WOODS
BELL SCALY YELLOW BRUISES ALMOND FREE CLOSE BROAD BLACK ENLARGING CLUB SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT BROWN SCATTERED GRASSES
FLAT FIBROUS YELLOW NO FOUL FREE CLOSE BROAD PINK ENLARGING BULBOUS SILKY SILKY BROWN PINK WHITE ONE LARGE CHOCOLATE SEVERAL WOODS
CONVEX SMOOTH YELLOW BRUISES ANISE FREE CLOSE BROAD BLACK ENLARGING CLUB SMOOTH SMOOTH WHITE WHITE WHITE ONE PENDANT BLACK SCATTERED GRASSES
